Registration Number,registration data,status,owner,title,МКТУ,inspiration date,number of bulletin,bulletin data,img url
924,23.02.1995,Истек,"Акционерная компания ""Либерек"" (SZ)(CH)",ЕLIТЕХ,07,10.06.2003,3,15.04.1995,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image924_ctl01&DXRefresh=5d84930c-64e0-49d0-b35a-8ee583d51e2f
957,23.02.1995,Истек,Балхашская швейная фабрика (KZ)(KZ),,"24, 25",01.11.2003,3,15.04.1995,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image957_ctl01&DXRefresh=4de4a40f-aa2a-45e4-b249-d5503ddb866b
1557,12.04.1995,Истек,Авентис КропСайнс ГмбХ(DE),РRОGRЕSS,05,14.10.2003,1-2,15.03.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg
1079,05.04.1995,Действует,"Ниссан Дзидося Кабусики Кайся (также торгующая как Ниссан Мотор Ко., Лтд) (JP)(JP)",URVАN,12,23.08.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg
986,05.04.1995,Истек,ДЖЕЙ ДИ СЕАРЛ ЛЛК (US)(US),МАХАQUIN,05,30.07.2003,3,15.04.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg
925,23.02.1995,Истек,"Товарищество с ограниченной ответственностью компания ""Цесна-Тау"" (KZ)(KZ)",ЦЕСНА-ТАУ,"09, 16, 32, 35, 36, 37, 39, 40, 41, 42",21.06.2003,3,15.04.1995,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image925_ctl01&DXRefresh=189ecd08-1216-44e5-8320-c967004d18e6
1387,12.04.1995,Действует,Новартис АГ(CH),ZОFRАN,05,28.09.2013,4,15.07.1995,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image1387_ctl01&DXRefresh=bb8ce0b3-25a5-4f71-ad10-6c735c88a89f
1378,12.04.1995,Действует,Глаксо Груп Лимитед (GB)(GB),ВЕСОТIDЕ,05,28.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg
1020,05.04.1995,Истек,"Сони Мьюзик Интетейнмент, Инк., корпорация штата Делавэр (US)(US)",,"09, 41",10.05.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image1020_ctl01&DXRefresh=30b89548-5d5a-40cb-a996-058ce74b5e9c
983,05.04.1995,Действует,ДЖЕЙ ДИ СЕАРЛ ЛЛК(US),АRТНRОТЕС,05,30.07.2003,3,15.04.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg
